"wsiName","roiID","modalityID","observer.1","observer.2","observer.3","observer.4","observer.5","truth"
"CCB030097HE","ROI01CCB030097HEx7187y4876c","microscope",1,2,1,1,1,1
"CCB030097HE","ROI02CCB030097HEx9787y5237c","microscope",0,3,3,3,3,3
"CCB050031HE","ROI03CCB050031HEx4865y16406c","microscope",2,2,2,3,2,2
"CCB030097HE","ROI04CCB030097HEx9390y7873c","microscope",2,2,3,3,2,2
"CCB010352HE","ROI05CCB010352HEx4840y6893c","microscope",1,1,1,1,0,1
"CCB050031HE","ROI06CCB050031HEx3056y16286c","microscope",0,2,1,1,1,1
"CCB050031HE","ROI07CCB050031HEx7761y18015c","microscope",1,2,1,2,2,2
"CCB010352HE","ROI08CCB010352HEx11346y5460c","microscope",0,0,0,0,1,0
"CCB030179HE","ROI09CCB030179HEx14316y19280c","microscope",1,1,1,2,1,2
"CCB030179HE","ROI10CCB030179HEx10061y26460c","microscope",1,4,1,3,2,3
"CCB050031HE","ROI11CCB050031HEx5388y17894c","microscope",2,3,3,2,2,3
"CCB030179HE","ROI12CCB030179HEx13961y22560c","microscope",0,1,1,1,0,1
"CCB030179HE","ROI13CCB030179HEx14582y26372c","microscope",1,1,1,1,1,1
"CCB010352HE","ROI14CCB010352HEx8635y4647c","microscope",0,0,0,0,0,0
"CCB030097HE","ROI15CCB030097HEx5670y6573c","microscope",2,5,5,6,7,7
"CCB050031HE","ROI16CCB050031HEx3136y17894c","microscope",2,3,2,3,1,4
"CCB010352HE","ROI17CCB010352HEx5034y4221c","microscope",1,1,0,1,0,1
"CCB030097HE","ROI18CCB030097HEx11521y8054c","microscope",3,3,4,7,6,7
"CCB010352HE","ROI19CCB010352HEx8209y7203c","microscope",0,0,0,0,0,0
"CCB030179HE","ROI20CCB030179HEx7004y24688c","microscope",3,3,3,3,3,3
"CCB030097HE","ROI21CCB030097HEx8054y10401c","microscope",1,3,1,1,2,5
"CCB030097HE","ROI22CCB030097HEx10004y9932c","microscope",2,4,3,4,3,4
"CCB050031HE","ROI23CCB050031HEx5187y19583c","microscope",2,3,1,3,2,3
"CCB030097HE","ROI24CCB030097HEx12315y10185c","microscope",1,0,0,1,2,2
"CCB010352HE","ROI25CCB010352HEx5266y13592c","microscope",0,0,0,0,0,0
"CCB050031HE","ROI26CCB050031HEx3136y19784c","microscope",2,3,1,2,1,1
"CCB050031HE","ROI27CCB050031HEx13149y22639c","microscope",0,0,0,0,0,0
"CCB010352HE","ROI28CCB010352HEx6699y10997c","microscope",0,0,0,0,0,0
"CCB030179HE","ROI29CCB030179HEx16089y23181c","microscope",1,1,0,0,1,1
"CCB030179HE","ROI30CCB030179HEx11302y28854c","microscope",1,1,1,2,1,1
"CCB050031HE","ROI31CCB050031HEx9369y22197c","microscope",0,0,0,0,1,0
"CCB030179HE","ROI32CCB030179HEx15557y30582c","microscope",2,5,2,2,3,2
"CCB030179HE","ROI33CCB030179HEx7777y23758c","microscope",2,2,3,2,2,2
"CCB010352HE","ROI34CCB010352HEx4182y9410c","microscope",0,0,0,0,0,0
"CCB030097HE","ROI35CCB030097HEx13977y8307c","microscope",0,0,0,0,0,0
"CCB050031HE","ROI36CCB050031HEx7801y19824c","microscope",0,0,0,0,1,0
"CCB010352HE","ROI37CCB010352HEx11113y7590c","microscope",0,0,0,0,0,0
"CCB030097HE","ROI38CCB030097HEx11304y12171c","microscope",1,1,2,0,2,4
"CCB010352HE","ROI39CCB010352HEx7512y15528c","microscope",2,2,2,2,2,2
"CCB030179HE","ROI40CCB030179HEx13706y23912c","microscope",1,2,2,2,2,3
"CCB030097HE","ROI01CCB030097HEx7187y4876c","scanner.A",2,1,1,1,1,1
"CCB030097HE","ROI02CCB030097HEx9787y5237c","scanner.A",1,4,1,2,1,3
"CCB050031HE","ROI03CCB050031HEx4865y16406c","scanner.A",2,3,1,2,3,2
"CCB030097HE","ROI04CCB030097HEx9390y7873c","scanner.A",2,3,2,2,2,2
"CCB010352HE","ROI05CCB010352HEx4840y6893c","scanner.A",1,3,0,1,2,1
"CCB050031HE","ROI06CCB050031HEx3056y16286c","scanner.A",0,2,0,0,0,1
"CCB050031HE","ROI07CCB050031HEx7761y18015c","scanner.A",1,2,1,1,1,2
"CCB010352HE","ROI08CCB010352HEx11346y5460c","scanner.A",0,1,0,0,0,0
"CCB030179HE","ROI09CCB030179HEx14316y19280c","scanner.A",1,3,0,1,0,2
"CCB030179HE","ROI10CCB030179HEx10061y26460c","scanner.A",1,6,2,1,1,3
"CCB050031HE","ROI11CCB050031HEx5388y17894c","scanner.A",2,2,2,1,2,3
"CCB030179HE","ROI12CCB030179HEx13961y22560c","scanner.A",1,2,0,0,0,1
"CCB030179HE","ROI13CCB030179HEx14582y26372c","scanner.A",1,2,1,1,0,1
"CCB010352HE","ROI14CCB010352HEx8635y4647c","scanner.A",0,0,0,0,0,0
"CCB030097HE","ROI15CCB030097HEx5670y6573c","scanner.A",4,7,5,4,6,7
"CCB050031HE","ROI16CCB050031HEx3136y17894c","scanner.A",0,2,1,0,1,4
"CCB010352HE","ROI17CCB010352HEx5034y4221c","scanner.A",0,0,0,0,0,1
"CCB030097HE","ROI18CCB030097HEx11521y8054c","scanner.A",3,4,3,3,3,7
"CCB010352HE","ROI19CCB010352HEx8209y7203c","scanner.A",0,0,0,0,0,0
"CCB030179HE","ROI20CCB030179HEx7004y24688c","scanner.A",3,3,3,3,2,3
"CCB030097HE","ROI21CCB030097HEx8054y10401c","scanner.A",2,1,1,0,1,5
"CCB030097HE","ROI22CCB030097HEx10004y9932c","scanner.A",3,3,3,3,3,4
"CCB050031HE","ROI23CCB050031HEx5187y19583c","scanner.A",2,2,1,1,1,3
"CCB030097HE","ROI24CCB030097HEx12315y10185c","scanner.A",1,0,0,0,0,2
"CCB010352HE","ROI25CCB010352HEx5266y13592c","scanner.A",0,0,1,0,0,0
"CCB050031HE","ROI26CCB050031HEx3136y19784c","scanner.A",1,1,3,1,1,1
"CCB050031HE","ROI27CCB050031HEx13149y22639c","scanner.A",0,0,2,0,0,0
"CCB010352HE","ROI28CCB010352HEx6699y10997c","scanner.A",0,0,0,0,0,0
"CCB030179HE","ROI29CCB030179HEx16089y23181c","scanner.A",1,0,2,0,0,1
"CCB030179HE","ROI30CCB030179HEx11302y28854c","scanner.A",0,0,1,0,0,1
"CCB050031HE","ROI31CCB050031HEx9369y22197c","scanner.A",0,0,0,0,0,0
"CCB030179HE","ROI32CCB030179HEx15557y30582c","scanner.A",3,3,3,1,0,2
"CCB030179HE","ROI33CCB030179HEx7777y23758c","scanner.A",2,1,2,2,2,2
"CCB010352HE","ROI34CCB010352HEx4182y9410c","scanner.A",0,0,0,0,0,0
"CCB030097HE","ROI35CCB030097HEx13977y8307c","scanner.A",0,0,3,0,0,0
"CCB050031HE","ROI36CCB050031HEx7801y19824c","scanner.A",0,0,0,0,0,0
"CCB010352HE","ROI37CCB010352HEx11113y7590c","scanner.A",0,0,0,0,0,0
"CCB030097HE","ROI38CCB030097HEx11304y12171c","scanner.A",0,1,5,0,0,4
"CCB010352HE","ROI39CCB010352HEx7512y15528c","scanner.A",2,1,3,2,1,2
"CCB030179HE","ROI40CCB030179HEx13706y23912c","scanner.A",1,1,2,1,1,3
"CCB030097HE","ROI01CCB030097HEx7187y4876c","scanner.B",1,1,2,1,2,1
"CCB030097HE","ROI02CCB030097HEx9787y5237c","scanner.B",1,2,1,3,2,3
"CCB050031HE","ROI03CCB050031HEx4865y16406c","scanner.B",1,2,2,2,2,2
"CCB030097HE","ROI04CCB030097HEx9390y7873c","scanner.B",2,2,2,2,2,2
"CCB010352HE","ROI05CCB010352HEx4840y6893c","scanner.B",1,1,1,1,1,1
"CCB050031HE","ROI06CCB050031HEx3056y16286c","scanner.B",0,1,1,1,1,1
"CCB050031HE","ROI07CCB050031HEx7761y18015c","scanner.B",1,0,0,1,1,2
"CCB010352HE","ROI08CCB010352HEx11346y5460c","scanner.B",0,0,0,0,0,0
"CCB030179HE","ROI09CCB030179HEx14316y19280c","scanner.B",1,2,1,1,2,2
"CCB030179HE","ROI10CCB030179HEx10061y26460c","scanner.B",2,3,1,1,1,3
"CCB050031HE","ROI11CCB050031HEx5388y17894c","scanner.B",2,2,2,2,2,3
"CCB030179HE","ROI12CCB030179HEx13961y22560c","scanner.B",1,1,1,0,1,1
"CCB030179HE","ROI13CCB030179HEx14582y26372c","scanner.B",1,1,1,0,0,1
"CCB010352HE","ROI14CCB010352HEx8635y4647c","scanner.B",0,0,0,0,0,0
"CCB030097HE","ROI15CCB030097HEx5670y6573c","scanner.B",8,6,5,4,9,7
"CCB050031HE","ROI16CCB050031HEx3136y17894c","scanner.B",2,2,1,1,2,4
"CCB010352HE","ROI17CCB010352HEx5034y4221c","scanner.B",0,1,0,0,0,1
"CCB030097HE","ROI18CCB030097HEx11521y8054c","scanner.B",3,3,3,3,3,7
"CCB010352HE","ROI19CCB010352HEx8209y7203c","scanner.B",0,0,0,0,0,0
"CCB030179HE","ROI20CCB030179HEx7004y24688c","scanner.B",2,1,3,2,3,3
"CCB030097HE","ROI21CCB030097HEx8054y10401c","scanner.B",4,2,1,1,2,5
"CCB030097HE","ROI22CCB030097HEx10004y9932c","scanner.B",3,3,3,3,2,4
"CCB050031HE","ROI23CCB050031HEx5187y19583c","scanner.B",2,2,0,2,1,3
"CCB030097HE","ROI24CCB030097HEx12315y10185c","scanner.B",2,0,0,1,2,2
"CCB010352HE","ROI25CCB010352HEx5266y13592c","scanner.B",0,0,0,0,0,0
"CCB050031HE","ROI26CCB050031HEx3136y19784c","scanner.B",2,1,2,1,1,1
"CCB050031HE","ROI27CCB050031HEx13149y22639c","scanner.B",0,1,0,0,0,0
"CCB010352HE","ROI28CCB010352HEx6699y10997c","scanner.B",0,0,0,0,0,0
"CCB030179HE","ROI29CCB030179HEx16089y23181c","scanner.B",0,1,0,0,0,1
"CCB030179HE","ROI30CCB030179HEx11302y28854c","scanner.B",1,1,1,1,1,1
"CCB050031HE","ROI31CCB050031HEx9369y22197c","scanner.B",1,0,0,0,0,0
"CCB030179HE","ROI32CCB030179HEx15557y30582c","scanner.B",4,2,0,2,1,2
"CCB030179HE","ROI33CCB030179HEx7777y23758c","scanner.B",3,0,2,2,2,2
"CCB010352HE","ROI34CCB010352HEx4182y9410c","scanner.B",0,0,0,0,0,0
"CCB030097HE","ROI35CCB030097HEx13977y8307c","scanner.B",0,0,0,0,0,0
"CCB050031HE","ROI36CCB050031HEx7801y19824c","scanner.B",0,0,0,0,0,0
"CCB010352HE","ROI37CCB010352HEx11113y7590c","scanner.B",1,0,0,0,0,0
"CCB030097HE","ROI38CCB030097HEx11304y12171c","scanner.B",1,1,0,1,0,4
"CCB010352HE","ROI39CCB010352HEx7512y15528c","scanner.B",2,2,1,2,2,2
"CCB030179HE","ROI40CCB030179HEx13706y23912c","scanner.B",2,2,2,2,1,3
"CCB030097HE","ROI01CCB030097HEx7187y4876c","scanner.C",1,2,2,2,1,1
"CCB030097HE","ROI02CCB030097HEx9787y5237c","scanner.C",0,2,1,2,3,3
"CCB050031HE","ROI03CCB050031HEx4865y16406c","scanner.C",0,2,2,2,1,2
"CCB030097HE","ROI04CCB030097HEx9390y7873c","scanner.C",2,1,2,2,2,2
"CCB010352HE","ROI05CCB010352HEx4840y6893c","scanner.C",2,1,1,1,1,1
"CCB050031HE","ROI06CCB050031HEx3056y16286c","scanner.C",0,1,1,1,0,1
"CCB050031HE","ROI07CCB050031HEx7761y18015c","scanner.C",1,0,0,1,1,2
"CCB010352HE","ROI08CCB010352HEx11346y5460c","scanner.C",0,0,0,0,0,0
"CCB030179HE","ROI09CCB030179HEx14316y19280c","scanner.C",0,0,0,1,0,2
"CCB030179HE","ROI10CCB030179HEx10061y26460c","scanner.C",1,1,1,1,1,3
"CCB050031HE","ROI11CCB050031HEx5388y17894c","scanner.C",2,1,2,2,2,3
"CCB030179HE","ROI12CCB030179HEx13961y22560c","scanner.C",1,1,1,0,1,1
"CCB030179HE","ROI13CCB030179HEx14582y26372c","scanner.C",1,0,1,0,0,1
"CCB010352HE","ROI14CCB010352HEx8635y4647c","scanner.C",1,0,0,0,0,0
"CCB030097HE","ROI15CCB030097HEx5670y6573c","scanner.C",4,2,5,4,6,7
"CCB050031HE","ROI16CCB050031HEx3136y17894c","scanner.C",1,1,1,1,2,4
"CCB010352HE","ROI17CCB010352HEx5034y4221c","scanner.C",0,0,0,0,0,1
"CCB030097HE","ROI18CCB030097HEx11521y8054c","scanner.C",3,3,2,3,3,7
"CCB010352HE","ROI19CCB010352HEx8209y7203c","scanner.C",0,0,0,0,0,0
"CCB030179HE","ROI20CCB030179HEx7004y24688c","scanner.C",1,2,2,3,3,3
"CCB030097HE","ROI21CCB030097HEx8054y10401c","scanner.C",0,0,1,0,0,5
"CCB030097HE","ROI22CCB030097HEx10004y9932c","scanner.C",4,3,3,3,3,4
"CCB050031HE","ROI23CCB050031HEx5187y19583c","scanner.C",2,2,2,1,1,3
"CCB030097HE","ROI24CCB030097HEx12315y10185c","scanner.C",1,0,1,1,1,2
"CCB010352HE","ROI25CCB010352HEx5266y13592c","scanner.C",0,0,0,0,0,0
"CCB050031HE","ROI26CCB050031HEx3136y19784c","scanner.C",1,0,2,0,1,1
"CCB050031HE","ROI27CCB050031HEx13149y22639c","scanner.C",0,0,0,0,0,0
"CCB010352HE","ROI28CCB010352HEx6699y10997c","scanner.C",0,0,0,0,0,0
"CCB030179HE","ROI29CCB030179HEx16089y23181c","scanner.C",0,0,0,0,0,1
"CCB030179HE","ROI30CCB030179HEx11302y28854c","scanner.C",0,0,0,0,1,1
"CCB050031HE","ROI31CCB050031HEx9369y22197c","scanner.C",0,0,0,0,0,0
"CCB030179HE","ROI32CCB030179HEx15557y30582c","scanner.C",0,1,0,1,0,2
"CCB030179HE","ROI33CCB030179HEx7777y23758c","scanner.C",2,1,1,2,2,2
"CCB010352HE","ROI34CCB010352HEx4182y9410c","scanner.C",0,0,0,0,0,0
"CCB030097HE","ROI35CCB030097HEx13977y8307c","scanner.C",0,0,0,0,0,0
"CCB050031HE","ROI36CCB050031HEx7801y19824c","scanner.C",0,0,0,0,1,0
"CCB010352HE","ROI37CCB010352HEx11113y7590c","scanner.C",1,0,0,1,0,0
"CCB030097HE","ROI38CCB030097HEx11304y12171c","scanner.C",0,1,0,0,0,4
"CCB010352HE","ROI39CCB010352HEx7512y15528c","scanner.C",2,1,1,2,1,2
"CCB030179HE","ROI40CCB030179HEx13706y23912c","scanner.C",1,0,1,2,1,3
"CCB030097HE","ROI01CCB030097HEx7187y4876c","scanner.D",1,1,2,1,1,1
"CCB030097HE","ROI02CCB030097HEx9787y5237c","scanner.D",2,2,2,2,2,3
"CCB050031HE","ROI03CCB050031HEx4865y16406c","scanner.D",1,1,2,0,1,2
"CCB030097HE","ROI04CCB030097HEx9390y7873c","scanner.D",2,2,2,2,2,2
"CCB010352HE","ROI05CCB010352HEx4840y6893c","scanner.D",1,1,1,1,1,1
"CCB050031HE","ROI06CCB050031HEx3056y16286c","scanner.D",0,0,1,0,0,1
"CCB050031HE","ROI07CCB050031HEx7761y18015c","scanner.D",1,1,2,1,1,2
"CCB010352HE","ROI08CCB010352HEx11346y5460c","scanner.D",0,0,1,0,0,0
"CCB030179HE","ROI09CCB030179HEx14316y19280c","scanner.D",0,0,1,0,1,2
"CCB030179HE","ROI10CCB030179HEx10061y26460c","scanner.D",1,1,3,2,1,3
"CCB050031HE","ROI11CCB050031HEx5388y17894c","scanner.D",2,1,2,2,2,3
"CCB030179HE","ROI12CCB030179HEx13961y22560c","scanner.D",0,0,1,0,0,1
"CCB030179HE","ROI13CCB030179HEx14582y26372c","scanner.D",0,0,1,0,0,1
"CCB010352HE","ROI14CCB010352HEx8635y4647c","scanner.D",0,0,0,0,0,0
"CCB030097HE","ROI15CCB030097HEx5670y6573c","scanner.D",6,5,5,4,5,7
"CCB050031HE","ROI16CCB050031HEx3136y17894c","scanner.D",0,1,2,1,2,4
"CCB010352HE","ROI17CCB010352HEx5034y4221c","scanner.D",0,0,0,0,0,1
"CCB030097HE","ROI18CCB030097HEx11521y8054c","scanner.D",3,3,6,4,7,7
"CCB010352HE","ROI19CCB010352HEx8209y7203c","scanner.D",0,0,0,0,0,0
"CCB030179HE","ROI20CCB030179HEx7004y24688c","scanner.D",2,0,3,3,3,3
"CCB030097HE","ROI21CCB030097HEx8054y10401c","scanner.D",1,0,2,0,0,5
"CCB030097HE","ROI22CCB030097HEx10004y9932c","scanner.D",3,3,4,4,4,4
"CCB050031HE","ROI23CCB050031HEx5187y19583c","scanner.D",2,2,3,1,1,3
"CCB030097HE","ROI24CCB030097HEx12315y10185c","scanner.D",1,1,1,1,2,2
"CCB010352HE","ROI25CCB010352HEx5266y13592c","scanner.D",1,1,0,0,0,0
"CCB050031HE","ROI26CCB050031HEx3136y19784c","scanner.D",1,0,2,0,1,1
"CCB050031HE","ROI27CCB050031HEx13149y22639c","scanner.D",0,0,2,0,0,0
"CCB010352HE","ROI28CCB010352HEx6699y10997c","scanner.D",0,0,0,0,0,0
"CCB030179HE","ROI29CCB030179HEx16089y23181c","scanner.D",1,1,0,0,0,1
"CCB030179HE","ROI30CCB030179HEx11302y28854c","scanner.D",0,1,1,0,1,1
"CCB050031HE","ROI31CCB050031HEx9369y22197c","scanner.D",2,0,0,0,0,0
"CCB030179HE","ROI32CCB030179HEx15557y30582c","scanner.D",2,5,0,0,2,2
"CCB030179HE","ROI33CCB030179HEx7777y23758c","scanner.D",2,0,2,2,2,2
"CCB010352HE","ROI34CCB010352HEx4182y9410c","scanner.D",0,1,0,0,0,0
"CCB030097HE","ROI35CCB030097HEx13977y8307c","scanner.D",1,0,1,0,0,0
"CCB050031HE","ROI36CCB050031HEx7801y19824c","scanner.D",0,2,0,0,0,0
"CCB010352HE","ROI37CCB010352HEx11113y7590c","scanner.D",0,0,0,0,0,0
"CCB030097HE","ROI38CCB030097HEx11304y12171c","scanner.D",0,1,2,1,1,4
"CCB010352HE","ROI39CCB010352HEx7512y15528c","scanner.D",2,2,1,1,2,2
"CCB030179HE","ROI40CCB030179HEx13706y23912c","scanner.D",1,2,2,1,1,3
